COL,~CI,min,max,median,NROW
Intercept,90_adjusted,Inf,-Inf,NA,0
Intercept,95_adjusted,Inf,-Inf,NA,0
Intercept,99_adjusted,Inf,-Inf,NA,0
Intercept,90,0.780841507321756,2.13820282433389,1.16508297560969,55
Intercept,95,0.87727042775861,2.13820282433389,1.2707898514032,47
Intercept,99,1.66037122650269,2.13820282433389,1.91346455649395,6
Candidate_TS18,90_adjusted,Inf,-Inf,NA,0
Candidate_TS18,95_adjusted,Inf,-Inf,NA,0
Candidate_TS18,99_adjusted,Inf,-Inf,NA,0
Candidate_TS18,90,0.0926420633882696,0.157554178254733,0.131578005401059,24
Candidate_TS18,95,0.113109012936445,0.157554178254733,0.14407773276346,13
Candidate_TS18,99,Inf,-Inf,NA,0
Candidate_TS19b4,90_adjusted,Inf,-Inf,NA,0
Candidate_TS19b4,95_adjusted,Inf,-Inf,NA,0
Candidate_TS19b4,99_adjusted,Inf,-Inf,NA,0
Candidate_TS19b4,90,-0.0979541848032094,0.109691437135472,0.104484648027207,7
Candidate_TS19b4,95,Inf,-Inf,NA,0
Candidate_TS19b4,99,Inf,-Inf,NA,0
Candidate_TS17,90_adjusted,Inf,-Inf,NA,0
Candidate_TS17,95_adjusted,Inf,-Inf,NA,0
Candidate_TS17,99_adjusted,Inf,-Inf,NA,0
Candidate_TS17,90,-0.0963687717874434,-0.0767062008049782,-0.0887241219867331,12
Candidate_TS17,95,-0.0963687717874434,-0.08812989242732,-0.091383765541152,7
Candidate_TS17,99,Inf,-Inf,NA,0
Perc_BachelorsDeg_and_higher,90_adjusted,-0.0118639357422669,-0.00919145666640979,-0.0114405003302381,16
Perc_BachelorsDeg_and_higher,95_adjusted,-0.0118639357422669,-0.00919145666640979,-0.0114405003302381,16
Perc_BachelorsDeg_and_higher,99_adjusted,-0.0118639357422669,-0.00919145666640979,-0.0114405003302381,16
Perc_BachelorsDeg_and_higher,90,-0.0118639357422669,-0.00479189143044713,-0.00887324277982356,45
Perc_BachelorsDeg_and_higher,95,-0.0118639357422669,-0.00479189143044713,-0.00911838515861993,40
Perc_BachelorsDeg_and_higher,99,-0.0118639357422669,-0.0082161037364755,-0.011129274386825,21
perc_Fem,90_adjusted,Inf,-Inf,NA,0
perc_Fem,95_adjusted,Inf,-Inf,NA,0
perc_Fem,99_adjusted,Inf,-Inf,NA,0
perc_Fem,90,-2.31880743157485,-1.58370511527471,-2.07491985422233,5
perc_Fem,95,-2.07491985422233,-2.07491985422233,-2.07491985422233,1
perc_Fem,99,Inf,-Inf,NA,0
MedianAge_Total,90_adjusted,Inf,-Inf,NA,0
MedianAge_Total,95_adjusted,Inf,-Inf,NA,0
MedianAge_Total,99_adjusted,Inf,-Inf,NA,0
MedianAge_Total,90,-0.0201512975148198,0.0101615283786042,-0.0163041997654028,12
MedianAge_Total,95,-0.0201512975148198,-0.0157186351310031,-0.0179654315268533,7
MedianAge_Total,99,Inf,-Inf,NA,0
perc_white,90_adjusted,-0.845803293080593,-0.353411598369056,-0.78175038904274,14
perc_white,95_adjusted,-0.813849935387412,-0.509537771483121,-0.569675962451661,3
perc_white,99_adjusted,-0.813849935387412,-0.509537771483121,-0.569675962451661,3
perc_white,90,-0.845803293080593,-0.212497710570772,-0.623735648108938,31
perc_white,95,-0.845803293080593,-0.353411598369056,-0.691467509118621,25
perc_white,99,-0.845803293080593,-0.353411598369056,-0.74118489061705,19
Estimate_MedianIncome_2015,90_adjusted,0.00000562306771772317,0.00000637889909598929,0.00000606279732138707,18
Estimate_MedianIncome_2015,95_adjusted,0.00000562306771772317,0.00000637889909598929,0.00000606279732138707,18
Estimate_MedianIncome_2015,99_adjusted,0.00000562306771772317,0.00000637889909598929,0.00000606279732138707,18
Estimate_MedianIncome_2015,90,-0.00000783221468306956,0.00000637889909598929,0.00000600407018934729,23
Estimate_MedianIncome_2015,95,0.0000043579815467059,0.00000637889909598929,0.00000602645809278278,22
Estimate_MedianIncome_2015,99,0.00000480236790717141,0.00000637889909598929,0.00000605397779559004,20
